financial_year,sending_location,option_type,nclient,rate
2017/18,Perth and Kinross,Option 2,745,4.9
2017/18,Perth and Kinross,Option 3,4305,28.5
2017/18,Perth and Kinross,Option 4,710,4.7
2017/18,Renfrewshire,Any SDS,3680,20.8
2017/18,Renfrewshire,Option 1,230,1.3
2017/18,Renfrewshire,Option 2,100,0.6
2017/18,Renfrewshire,Option 3,3480,19.7
2017/18,Renfrewshire,Option 4,130,0.7
2017/18,Scottish Borders,Any SDS,2360,20.5
2017/18,Scottish Borders,Option 1,450,3.9
2017/18,Scottish Borders,Option 2,10,0.1
2017/18,Scottish Borders,Option 3,2080,18.1
2017/18,Scottish Borders,Option 4,175,1.5
2017/18,Shetland Islands,Any SDS,45,1.9
2017/18,Shetland Islands,Option 1,40,1.7
2017/18,Shetland Islands,Option 2,5,0.2
2017/18,Shetland Islands,Option 3,5,0.2
2017/18,Shetland Islands,Option 4,10,0.4
2017/18,South Ayrshire,Any SDS,3120,27.7
2017/18,South Ayrshire,Option 1,120,1.1
2017/18,South Ayrshire,Option 2,110,1
2017/18,South Ayrshire,Option 3,2915,25.9
2017/18,South Ayrshire,Option 4,25,0.2
2017/18,South Lanarkshire,Any SDS,2580,8.1
2017/18,South Lanarkshire,Option 1,450,1.4
2017/18,South Lanarkshire,Option 2,55,0.2
2017/18,South Lanarkshire,Option 3,2205,6.9
2017/18,South Lanarkshire,Option 4,125,0.4
2017/18,Stirling,Any SDS,1920,20.4
2017/18,Stirling,Option 1,80,0.9
2017/18,Stirling,Option 2,90,1
2017/18,Stirling,Option 3,1825,19.4
2017/18,Stirling,Option 4,70,0.7
2017/18,West Dunbartonshire,Any SDS,125,1.4
2017/18,West Dunbartonshire,Option 1,115,1.3
2017/18,West Dunbartonshire,Option 2,10,0.1
2017/18,West Dunbartonshire,Option 3,0,0
2017/18,West Dunbartonshire,Option 4,0,0
2017/18,West Lothian,Any SDS,2825,15.6
2017/18,West Lothian,Option 1,205,1.1
2017/18,West Lothian,Option 2,965,5.3
2017/18,West Lothian,Option 3,2055,11.3
2017/18,West Lothian,Option 4,385,2.1
2018/19,Scotland (Estimated),Any SDS,102905,18.9
2018/19,Scotland (Estimated),Option 1,9305,1.7
2018/19,Scotland (Estimated),Option 2,7020,1.3
2018/19,Scotland (Estimated),Option 3,91560,16.8
2018/19,Scotland (Estimated),Option 4,5010,0.9
2018/19,Aberdeen City,Any SDS,1030,4.5
2018/19,Aberdeen City,Option 1,275,1.2
2018/19,Aberdeen City,Option 2,10,0
2018/19,Aberdeen City,Option 3,835,3.7
2018/19,Aberdeen City,Option 4,90,0.4
2018/19,Aberdeenshire,Any SDS,4480,17.1
2018/19,Aberdeenshire,Option 1,420,1.6
2018/19,Aberdeenshire,Option 2,30,0.1
2018/19,Aberdeenshire,Option 3,4285,16.4
2018/19,Aberdeenshire,Option 4,260,1
2018/19,Angus,Any SDS,2140,18.4
2018/19,Angus,Option 1,140,1.2
2018/19,Angus,Option 2,430,3.7
2018/19,Angus,Option 3,1490,12.8
2018/19,Angus,Option 4,110,0.9
2018/19,Argyll and Bute,Any SDS,2120,24.6
2018/19,Argyll and Bute,Option 1,215,2.5
2018/19,Argyll and Bute,Option 2,0,0
